,E,D,C,B,A,O,A',B',C',D',E',outcomes,str_out_det
10,13790,7670,7127,6927,6169,8178,5990,6337,6921,7368,13523,"{'tie': 121, 'left_suc_strategic': 130, 'left_unsuc_best_try': 1792, 'left_unsuc_sincere': 1765, 'left_unsuc_random': 1795, 'left_winning_sincere': 39934, 'right_suc_strategic': 115, 'right_unsuc_best_try': 1795, 'right_unsuc_sincere': 1864, 'right_unsuc_random': 1876, 'right_winning_sincere': 38044}","{'left_suc_strategic': {-9: 0, -7: 15, -5: 37, -3: 43, -1: 35}, 'left_unsuc_best_try': {-9: 1225, -7: 163, -5: 143, -3: 130, -1: 131}, 'right_suc_strategic': {1: 32, 3: 47, 5: 18, 7: 18, 9: 0}, 'right_unsuc_best_try': {1: 129, 3: 135, 5: 144, 7: 130, 9: 1257}}"
11,13620,7720,7195,6962,6224,8178,6049,6391,6965,7471,13225,"{'tie': 101, 'left_suc_strategic': 117, 'left_unsuc_best_try': 1580, 'left_unsuc_sincere': 1638, 'left_unsuc_random': 1548, 'left_winning_sincere': 40619, 'right_suc_strategic': 92, 'right_unsuc_best_try': 1645, 'right_unsuc_sincere': 1568, 'right_unsuc_random': 1614, 'right_winning_sincere': 38728}","{'left_suc_strategic': {-9: 0, -7: 19, -5: 21, -3: 36, -1: 41}, 'left_unsuc_best_try': {-9: 1099, -7: 155, -5: 107, -3: 119, -1: 100}, 'right_suc_strategic': {1: 35, 3: 28, 5: 19, 7: 10, 9: 0}, 'right_unsuc_best_try': {1: 122, 3: 113, 5: 119, 7: 131, 9: 1160}}"
12,13406,7784,7245,7011,6326,8178,6106,6436,7046,7510,12952,"{'tie': 114, 'left_suc_strategic': 90, 'left_unsuc_best_try': 1400, 'left_unsuc_sincere': 1418, 'left_unsuc_random': 1391, 'left_winning_sincere': 41267, 'right_suc_strategic': 103, 'right_unsuc_best_try': 1378, 'right_unsuc_sincere': 1417, 'right_unsuc_random': 1487, 'right_winning_sincere': 39256}","{'left_suc_strategic': {-9: 0, -7: 14, -5: 20, -3: 29, -1: 27}, 'left_unsuc_best_try': {-9: 970, -7: 130, -5: 108, -3: 107, -1: 85}, 'right_suc_strategic': {1: 37, 3: 34, 5: 18, 7: 14, 9: 0}, 'right_unsuc_best_try': {1: 103, 3: 101, 5: 109, 7: 130, 9: 935}}"
13,13227,7833,7317,7065,6371,8178,6161,6462,7098,7558,12730,"{'tie': 109, 'left_suc_strategic': 88, 'left_unsuc_best_try': 1261, 'left_unsuc_sincere': 1202, 'left_unsuc_random': 1247, 'left_winning_sincere': 41855, 'right_suc_strategic': 98, 'right_unsuc_best_try': 1247, 'right_unsuc_sincere': 1227, 'right_unsuc_random': 1294, 'right_winning_sincere': 39764}","{'left_suc_strategic': {-9: 0, -7: 13, -5: 17, -3: 29, -1: 29}, 'left_unsuc_best_try': {-9: 875, -7: 117, -5: 85, -3: 96, -1: 88}, 'right_suc_strategic': {1: 26, 3: 34, 5: 30, 7: 8, 9: 0}, 'right_unsuc_best_try': {1: 73, 3: 93, 5: 97, 7: 114, 9: 870}}"
14,13046,7897,7370,7077,6439,8178,6197,6491,7149,7631,12525,"{'tie': 109, 'left_suc_strategic': 80, 'left_unsuc_best_try': 1137, 'left_unsuc_sincere': 1073, 'left_unsuc_random': 1090, 'left_winning_sincere': 42366, 'right_suc_strategic': 88, 'right_unsuc_best_try': 1080, 'right_unsuc_sincere': 1117, 'right_unsuc_random': 1106, 'right_winning_sincere': 40170}","{'left_suc_strategic': {-9: 0, -7: 10, -5: 24, -3: 30, -1: 16}, 'left_unsuc_best_try': {-9: 823, -7: 87, -5: 74, -3: 70, -1: 83}, 'right_suc_strategic': {1: 30, 3: 28, 5: 26, 7: 4, 9: 0}, 'right_unsuc_best_try': {1: 90, 3: 71, 5: 85, 7: 88, 9: 746}}"
15,12842,7935,7407,7139,6450,8178,6244,6569,7162,7613,12461,"{'tie': 112, 'left_suc_strategic': 68, 'left_unsuc_best_try': 979, 'left_unsuc_sincere': 1009, 'left_unsuc_random': 988, 'left_winning_sincere': 42734, 'right_suc_strategic': 77, 'right_unsuc_best_try': 1026, 'right_unsuc_sincere': 1006, 'right_unsuc_random': 910, 'right_winning_sincere': 40556}","{'left_suc_strategic': {-9: 0, -7: 14, -5: 15, -3: 17, -1: 22}, 'left_unsuc_best_try': {-9: 671, -7: 82, -5: 68, -3: 72, -1: 86}, 'right_suc_strategic': {1: 24, 3: 18, 5: 23, 7: 12, 9: 0}, 'right_unsuc_best_try': {1: 65, 3: 68, 5: 91, 7: 105, 9: 697}}"
16,12699,7945,7461,7167,6486,8178,6291,6637,7195,7647,12294,"{'tie': 111, 'left_suc_strategic': 83, 'left_unsuc_best_try': 884, 'left_unsuc_sincere': 869, 'left_unsuc_random': 882, 'left_winning_sincere': 42993, 'right_suc_strategic': 78, 'right_unsuc_best_try': 854, 'right_unsuc_sincere': 936, 'right_unsuc_random': 856, 'right_winning_sincere': 40911}","{'left_suc_strategic': {-9: 0, -7: 12, -5: 20, -3: 24, -1: 27}, 'left_unsuc_best_try': {-9: 612, -7: 88, -5: 68, -3: 65, -1: 51}, 'right_suc_strategic': {1: 29, 3: 19, 5: 19, 7: 11, 9: 0}, 'right_unsuc_best_try': {1: 55, 3: 42, 5: 79, 7: 74, 9: 604}}"
17,12577,7985,7509,7191,6513,8178,6321,6651,7221,7671,12183,"{'tie': 82, 'left_suc_strategic': 63, 'left_unsuc_best_try': 808, 'left_unsuc_sincere': 777, 'left_unsuc_random': 779, 'left_winning_sincere': 43275, 'right_suc_strategic': 69, 'right_unsuc_best_try': 808, 'right_unsuc_sincere': 822, 'right_unsuc_random': 808, 'right_winning_sincere': 41195}","{'left_suc_strategic': {-9: 0, -7: 9, -5: 16, -3: 15, -1: 23}, 'left_unsuc_best_try': {-9: 579, -7: 64, -5: 55, -3: 59, -1: 51}, 'right_suc_strategic': {1: 27, 3: 22, 5: 10, 7: 10, 9: 0}, 'right_unsuc_best_try': {1: 50, 3: 67, 5: 51, 7: 72, 9: 568}}"
18,12470,8011,7542,7206,6558,8178,6366,6688,7261,7713,12007,"{'tie': 92, 'left_suc_strategic': 73, 'left_unsuc_best_try': 701, 'left_unsuc_sincere': 712, 'left_unsuc_random': 729, 'left_winning_sincere': 43499, 'right_suc_strategic': 58, 'right_unsuc_best_try': 716, 'right_unsuc_sincere': 737, 'right_unsuc_random': 771, 'right_winning_sincere': 41403}","{'left_suc_strategic': {-9: 0, -7: 9, -5: 16, -3: 25, -1: 23}, 'left_unsuc_best_try': {-9: 515, -7: 49, -5: 51, -3: 47, -1: 39}, 'right_suc_strategic': {1: 18, 3: 16, 5: 16, 7: 8, 9: 0}, 'right_unsuc_best_try': {1: 56, 3: 49, 5: 52, 7: 51, 9: 508}}"
19,12397,8048,7582,7213,6570,8178,6371,6710,7287,7692,11952,"{'tie': 81, 'left_suc_strategic': 69, 'left_unsuc_best_try': 668, 'left_unsuc_sincere': 665, 'left_unsuc_random': 635, 'left_winning_sincere': 43710, 'right_suc_strategic': 68, 'right_unsuc_best_try': 684, 'right_unsuc_sincere': 669, 'right_unsuc_random': 669, 'right_winning_sincere': 41550}","{'left_suc_strategic': {-9: 0, -7: 8, -5: 20, -3: 23, -1: 18}, 'left_unsuc_best_try': {-9: 467, -7: 62, -5: 36, -3: 54, -1: 49}, 'right_suc_strategic': {1: 21, 3: 17, 5: 17, 7: 13, 9: 0}, 'right_unsuc_best_try': {1: 52, 3: 45, 5: 54, 7: 83, 9: 450}}"
