,E,D,C,B,A,O,A',B',C',D',E',outcomes,str_out_det
30,11857,8214,7692,7374,6737,8178,6531,6844,7377,7828,11368,"{'tie': 78, 'left_suc_strategic': 37, 'left_unsuc_best_try': 289, 'left_unsuc_sincere': 300, 'left_unsuc_random': 310, 'left_winning_sincere': 44948, 'right_suc_strategic': 41, 'right_unsuc_best_try': 307, 'right_unsuc_sincere': 326, 'right_unsuc_random': 313, 'right_winning_sincere': 42584}","{'left_suc_strategic': {-9: 0, -7: 3, -5: 7, -3: 12, -1: 15}, 'left_unsuc_best_try': {-9: 204, -7: 23, -5: 27, -3: 22, -1: 13}, 'right_suc_strategic': {1: 13, 3: 13, 5: 9, 7: 6, 9: 0}, 'right_unsuc_best_try': {1: 20, 3: 19, 5: 26, 7: 32, 9: 210}}"
31,11843,8213,7688,7378,6748,8178,6539,6864,7385,7815,11349,"{'tie': 68, 'left_suc_strategic': 39, 'left_unsuc_best_try': 282, 'left_unsuc_sincere': 280, 'left_unsuc_random': 294, 'left_winning_sincere': 44985, 'right_suc_strategic': 32, 'right_unsuc_best_try': 310, 'right_unsuc_sincere': 301, 'right_unsuc_random': 287, 'right_winning_sincere': 42676}","{'left_suc_strategic': {-9: 0, -7: 5, -5: 11, -3: 11, -1: 12}, 'left_unsuc_best_try': {-9: 179, -7: 36, -5: 30, -3: 17, -1: 20}, 'right_suc_strategic': {1: 10, 3: 8, 5: 8, 7: 6, 9: 0}, 'right_unsuc_best_try': {1: 23, 3: 18, 5: 31, 7: 33, 9: 205}}"
32,11815,8204,7696,7392,6757,8178,6532,6881,7391,7818,11336,"{'tie': 79, 'left_suc_strategic': 34, 'left_unsuc_best_try': 279, 'left_unsuc_sincere': 252, 'left_unsuc_random': 268, 'left_winning_sincere': 45017, 'right_suc_strategic': 36, 'right_unsuc_best_try': 297, 'right_unsuc_sincere': 278, 'right_unsuc_random': 290, 'right_winning_sincere': 42703}","{'left_suc_strategic': {-9: 0, -7: 6, -5: 8, -3: 6, -1: 14}, 'left_unsuc_best_try': {-9: 184, -7: 29, -5: 25, -3: 22, -1: 19}, 'right_suc_strategic': {1: 17, 3: 7, 5: 10, 7: 2, 9: 0}, 'right_unsuc_best_try': {1: 27, 3: 17, 5: 31, 7: 34, 9: 188}}"
33,11784,8217,7708,7378,6776,8178,6535,6885,7401,7815,11323,"{'tie': 62, 'left_suc_strategic': 38, 'left_unsuc_best_try': 257, 'left_unsuc_sincere': 256, 'left_unsuc_random': 237, 'left_winning_sincere': 45081, 'right_suc_strategic': 44, 'right_unsuc_best_try': 283, 'right_unsuc_sincere': 286, 'right_unsuc_random': 254, 'right_winning_sincere': 42751}","{'left_suc_strategic': {-9: 0, -7: 5, -5: 8, -3: 15, -1: 10}, 'left_unsuc_best_try': {-9: 176, -7: 33, -5: 22, -3: 16, -1: 10}, 'right_suc_strategic': {1: 16, 3: 15, 5: 5, 7: 8, 9: 0}, 'right_unsuc_best_try': {1: 20, 3: 18, 5: 31, 7: 28, 9: 186}}"
34,11757,8224,7715,7399,6780,8178,6535,6887,7417,7807,11301,"{'tie': 61, 'left_suc_strategic': 34, 'left_unsuc_best_try': 241, 'left_unsuc_sincere': 260, 'left_unsuc_random': 218, 'left_winning_sincere': 45085, 'right_suc_strategic': 29, 'right_unsuc_best_try': 265, 'right_unsuc_sincere': 260, 'right_unsuc_random': 259, 'right_winning_sincere': 42811}","{'left_suc_strategic': {-9: 0, -7: 4, -5: 6, -3: 8, -1: 16}, 'left_unsuc_best_try': {-9: 165, -7: 21, -5: 19, -3: 14, -1: 22}, 'right_suc_strategic': {1: 6, 3: 12, 5: 9, 7: 2, 9: 0}, 'right_unsuc_best_try': {1: 17, 3: 16, 5: 16, 7: 26, 9: 190}}"
35,11739,8238,7723,7412,6787,8178,6533,6877,7423,7825,11265,"{'tie': 71, 'left_suc_strategic': 27, 'left_unsuc_best_try': 256, 'left_unsuc_sincere': 219, 'left_unsuc_random': 235, 'left_winning_sincere': 45121, 'right_suc_strategic': 32, 'right_unsuc_best_try': 249, 'right_unsuc_sincere': 249, 'right_unsuc_random': 262, 'right_winning_sincere': 42826}","{'left_suc_strategic': {-9: 0, -7: 5, -5: 7, -3: 6, -1: 9}, 'left_unsuc_best_try': {-9: 171, -7: 24, -5: 26, -3: 19, -1: 16}, 'right_suc_strategic': {1: 6, 3: 7, 5: 12, 7: 7, 9: 0}, 'right_unsuc_best_try': {1: 25, 3: 20, 5: 20, 7: 17, 9: 167}}"
36,11733,8260,7717,7414,6794,8178,6538,6876,7428,7809,11253,"{'tie': 68, 'left_suc_strategic': 39, 'left_unsuc_best_try': 240, 'left_unsuc_sincere': 230, 'left_unsuc_random': 213, 'left_winning_sincere': 45168, 'right_suc_strategic': 39, 'right_unsuc_best_try': 211, 'right_unsuc_sincere': 244, 'right_unsuc_random': 264, 'right_winning_sincere': 42836}","{'left_suc_strategic': {-9: 0, -7: 3, -5: 10, -3: 12, -1: 14}, 'left_unsuc_best_try': {-9: 162, -7: 22, -5: 19, -3: 21, -1: 16}, 'right_suc_strategic': {1: 9, 3: 15, 5: 8, 7: 7, 9: 0}, 'right_unsuc_best_try': {1: 10, 3: 13, 5: 21, 7: 28, 9: 139}}"
37,11702,8274,7730,7415,6807,8178,6545,6870,7436,7814,11229,"{'tie': 56, 'left_suc_strategic': 23, 'left_unsuc_best_try': 205, 'left_unsuc_sincere': 224, 'left_unsuc_random': 218, 'left_winning_sincere': 45249, 'right_suc_strategic': 33, 'right_unsuc_best_try': 234, 'right_unsuc_sincere': 226, 'right_unsuc_random': 226, 'right_winning_sincere': 42852}","{'left_suc_strategic': {-9: 0, -7: 3, -5: 3, -3: 7, -1: 10}, 'left_unsuc_best_try': {-9: 137, -7: 21, -5: 15, -3: 19, -1: 13}, 'right_suc_strategic': {1: 7, 3: 12, 5: 8, 7: 6, 9: 0}, 'right_unsuc_best_try': {1: 14, 3: 13, 5: 22, 7: 19, 9: 166}}"
38,11675,8280,7739,7434,6801,8178,6547,6868,7433,7811,11234,"{'tie': 49, 'left_suc_strategic': 36, 'left_unsuc_best_try': 221, 'left_unsuc_sincere': 193, 'left_unsuc_random': 224, 'left_winning_sincere': 45279, 'right_suc_strategic': 33, 'right_unsuc_best_try': 220, 'right_unsuc_sincere': 212, 'right_unsuc_random': 225, 'right_winning_sincere': 42872}","{'left_suc_strategic': {-9: 0, -7: 2, -5: 11, -3: 8, -1: 15}, 'left_unsuc_best_try': {-9: 151, -7: 22, -5: 22, -3: 12, -1: 14}, 'right_suc_strategic': {1: 10, 3: 8, 5: 9, 7: 6, 9: 0}, 'right_unsuc_best_try': {1: 13, 3: 20, 5: 18, 7: 21, 9: 148}}"
39,11652,8281,7739,7441,6803,8178,6547,6887,7430,7818,11224,"{'tie': 54, 'left_suc_strategic': 28, 'left_unsuc_best_try': 207, 'left_unsuc_sincere': 203, 'left_unsuc_random': 210, 'left_winning_sincere': 45305, 'right_suc_strategic': 26, 'right_unsuc_best_try': 218, 'right_unsuc_sincere': 226, 'right_unsuc_random': 195, 'right_winning_sincere': 42894}","{'left_suc_strategic': {-9: 0, -7: 0, -5: 5, -3: 11, -1: 12}, 'left_unsuc_best_try': {-9: 132, -7: 27, -5: 22, -3: 13, -1: 13}, 'right_suc_strategic': {1: 10, 3: 5, 5: 8, 7: 3, 9: 0}, 'right_unsuc_best_try': {1: 15, 3: 9, 5: 20, 7: 17, 9: 157}}"
40,11631,8265,7733,7458,6825,8178,6555,6891,7427,7829,11208,"{'tie': 58, 'left_suc_strategic': 34, 'left_unsuc_best_try': 193, 'left_unsuc_sincere': 194, 'left_unsuc_random': 208, 'left_winning_sincere': 45293, 'right_suc_strategic': 27, 'right_unsuc_best_try': 208, 'right_unsuc_sincere': 201, 'right_unsuc_random': 198, 'right_winning_sincere': 42952}","{'left_suc_strategic': {-9: 0, -7: 7, -5: 9, -3: 8, -1: 10}, 'left_unsuc_best_try': {-9: 131, -7: 24, -5: 13, -3: 16, -1: 9}, 'right_suc_strategic': {1: 6, 3: 7, 5: 6, 7: 8, 9: 0}, 'right_unsuc_best_try': {1: 14, 3: 17, 5: 17, 7: 21, 9: 139}}"
41,11606,8267,7734,7447,6836,8178,6556,6906,7447,7832,11191,"{'tie': 64, 'left_suc_strategic': 33, 'left_unsuc_best_try': 191, 'left_unsuc_sincere': 196, 'left_unsuc_random': 206, 'left_winning_sincere': 45282, 'right_suc_strategic': 33, 'right_unsuc_best_try': 197, 'right_unsuc_sincere': 200, 'right_unsuc_random': 183, 'right_winning_sincere': 42975}","{'left_suc_strategic': {-9: 0, -7: 7, -5: 8, -3: 11, -1: 7}, 'left_unsuc_best_try': {-9: 129, -7: 15, -5: 17, -3: 13, -1: 17}, 'right_suc_strategic': {1: 10, 3: 14, 5: 6, 7: 3, 9: 0}, 'right_unsuc_best_try': {1: 14, 3: 8, 5: 14, 7: 17, 9: 144}}"
42,11621,8256,7724,7441,6846,8178,6557,6903,7461,7830,11183,"{'tie': 66, 'left_suc_strategic': 29, 'left_unsuc_best_try': 196, 'left_unsuc_sincere': 191, 'left_unsuc_random': 187, 'left_winning_sincere': 45296, 'right_suc_strategic': 26, 'right_unsuc_best_try': 190, 'right_unsuc_sincere': 190, 'right_unsuc_random': 187, 'right_winning_sincere': 43020}","{'left_suc_strategic': {-9: 0, -7: 1, -5: 7, -3: 11, -1: 10}, 'left_unsuc_best_try': {-9: 119, -7: 30, -5: 15, -3: 15, -1: 17}, 'right_suc_strategic': {1: 8, 3: 9, 5: 4, 7: 5, 9: 0}, 'right_unsuc_best_try': {1: 14, 3: 9, 5: 17, 7: 22, 9: 128}}"
43,11599,8248,7735,7436,6840,8178,6562,6916,7455,7846,11185,"{'tie': 70, 'left_suc_strategic': 31, 'left_unsuc_best_try': 186, 'left_unsuc_sincere': 185, 'left_unsuc_random': 185, 'left_winning_sincere': 45311, 'right_suc_strategic': 28, 'right_unsuc_best_try': 211, 'right_unsuc_sincere': 179, 'right_unsuc_random': 155, 'right_winning_sincere': 43045}","{'left_suc_strategic': {-9: 0, -7: 3, -5: 7, -3: 13, -1: 8}, 'left_unsuc_best_try': {-9: 128, -7: 20, -5: 11, -3: 12, -1: 15}, 'right_suc_strategic': {1: 10, 3: 8, 5: 6, 7: 4, 9: 0}, 'right_unsuc_best_try': {1: 11, 3: 12, 5: 22, 7: 17, 9: 149}}"
44,11576,8247,7747,7457,6837,8178,6560,6921,7451,7860,11166,"{'tie': 63, 'left_suc_strategic': 22, 'left_unsuc_best_try': 173, 'left_unsuc_sincere': 182, 'left_unsuc_random': 174, 'left_winning_sincere': 45303, 'right_suc_strategic': 29, 'right_unsuc_best_try': 178, 'right_unsuc_sincere': 173, 'right_unsuc_random': 170, 'right_winning_sincere': 43086}","{'left_suc_strategic': {-9: 0, -7: 3, -5: 6, -3: 4, -1: 9}, 'left_unsuc_best_try': {-9: 124, -7: 21, -5: 15, -3: 7, -1: 6}, 'right_suc_strategic': {1: 12, 3: 11, 5: 4, 7: 2, 9: 0}, 'right_unsuc_best_try': {1: 10, 3: 10, 5: 14, 7: 15, 9: 129}}"
45,11578,8240,7751,7456,6837,8178,6567,6925,7458,7861,11149,"{'tie': 61, 'left_suc_strategic': 25, 'left_unsuc_best_try': 183, 'left_unsuc_sincere': 170, 'left_unsuc_random': 176, 'left_winning_sincere': 45313, 'right_suc_strategic': 19, 'right_unsuc_best_try': 160, 'right_unsuc_sincere': 178, 'right_unsuc_random': 165, 'right_winning_sincere': 43110}","{'left_suc_strategic': {-9: 0, -7: 3, -5: 6, -3: 5, -1: 11}, 'left_unsuc_best_try': {-9: 117, -7: 21, -5: 17, -3: 15, -1: 13}, 'right_suc_strategic': {1: 7, 3: 6, 5: 3, 7: 3, 9: 0}, 'right_unsuc_best_try': {1: 8, 3: 9, 5: 19, 7: 19, 9: 105}}"
46,11557,8241,7762,7479,6827,8178,6581,6927,7467,7859,11122,"{'tie': 62, 'left_suc_strategic': 31, 'left_unsuc_best_try': 168, 'left_unsuc_sincere': 182, 'left_unsuc_random': 170, 'left_winning_sincere': 45324, 'right_suc_strategic': 20, 'right_unsuc_best_try': 146, 'right_unsuc_sincere': 146, 'right_unsuc_random': 192, 'right_winning_sincere': 43127}","{'left_suc_strategic': {-9: 0, -7: 8, -5: 5, -3: 6, -1: 12}, 'left_unsuc_best_try': {-9: 116, -7: 13, -5: 10, -3: 15, -1: 14}, 'right_suc_strategic': {1: 3, 3: 8, 5: 5, 7: 4, 9: 0}, 'right_unsuc_best_try': {1: 8, 3: 11, 5: 11, 7: 13, 9: 103}}"
47,11550,8241,7752,7484,6832,8178,6552,6930,7488,7853,11140,"{'tie': 61, 'left_suc_strategic': 31, 'left_unsuc_best_try': 170, 'left_unsuc_sincere': 165, 'left_unsuc_random': 168, 'left_winning_sincere': 45353, 'right_suc_strategic': 28, 'right_unsuc_best_try': 165, 'right_unsuc_sincere': 163, 'right_unsuc_random': 154, 'right_winning_sincere': 43131}","{'left_suc_strategic': {-9: 0, -7: 8, -5: 9, -3: 4, -1: 10}, 'left_unsuc_best_try': {-9: 108, -7: 18, -5: 20, -3: 16, -1: 8}, 'right_suc_strategic': {1: 13, 3: 7, 5: 5, 7: 3, 9: 0}, 'right_unsuc_best_try': {1: 25, 3: 10, 5: 10, 7: 21, 9: 99}}"
48,11531,8260,7755,7471,6832,8178,6547,6949,7488,7859,11130,"{'tie': 62, 'left_suc_strategic': 36, 'left_unsuc_best_try': 148, 'left_unsuc_sincere': 177, 'left_unsuc_random': 155, 'left_winning_sincere': 45350, 'right_suc_strategic': 24, 'right_unsuc_best_try': 155, 'right_unsuc_sincere': 153, 'right_unsuc_random': 151, 'right_winning_sincere': 43174}","{'left_suc_strategic': {-9: 0, -7: 3, -5: 3, -3: 16, -1: 14}, 'left_unsuc_best_try': {-9: 107, -7: 9, -5: 12, -3: 11, -1: 9}, 'right_suc_strategic': {1: 8, 3: 4, 5: 6, 7: 6, 9: 0}, 'right_unsuc_best_try': {1: 13, 3: 11, 5: 15, 7: 11, 9: 105}}"
49,11520,8268,7766,7459,6833,8178,6557,6950,7500,7854,11115,"{'tie': 73, 'left_suc_strategic': 31, 'left_unsuc_best_try': 158, 'left_unsuc_sincere': 162, 'left_unsuc_random': 149, 'left_winning_sincere': 45346, 'right_suc_strategic': 18, 'right_unsuc_best_try': 135, 'right_unsuc_sincere': 148, 'right_unsuc_random': 157, 'right_winning_sincere': 43188}","{'left_suc_strategic': {-9: 0, -7: 6, -5: 5, -3: 12, -1: 8}, 'left_unsuc_best_try': {-9: 108, -7: 13, -5: 11, -3: 10, -1: 16}, 'right_suc_strategic': {1: 4, 3: 8, 5: 4, 7: 2, 9: 0}, 'right_unsuc_best_try': {1: 2, 3: 10, 5: 12, 7: 12, 9: 99}}"
50,11492,8278,7764,7461,6841,8178,6566,6947,7492,7876,11105,"{'tie': 81, 'left_suc_strategic': 24, 'left_unsuc_best_try': 140, 'left_unsuc_sincere': 153, 'left_unsuc_random': 165, 'left_winning_sincere': 45354, 'right_suc_strategic': 24, 'right_unsuc_best_try': 124, 'right_unsuc_sincere': 150, 'right_unsuc_random': 145, 'right_winning_sincere': 43206}","{'left_suc_strategic': {-9: 0, -7: 4, -5: 8, -3: 7, -1: 5}, 'left_unsuc_best_try': {-9: 101, -7: 10, -5: 9, -3: 10, -1: 10}, 'right_suc_strategic': {1: 6, 3: 7, 5: 9, 7: 2, 9: 0}, 'right_unsuc_best_try': {1: 4, 3: 12, 5: 12, 7: 10, 9: 86}}"
51,11493,8259,7767,7470,6844,8178,6565,6959,7494,7891,11080,"{'tie': 64, 'left_suc_strategic': 22, 'left_unsuc_best_try': 160, 'left_unsuc_sincere': 138, 'left_unsuc_random': 177, 'left_winning_sincere': 45354, 'right_suc_strategic': 19, 'right_unsuc_best_try': 123, 'right_unsuc_sincere': 135, 'right_unsuc_random': 145, 'right_winning_sincere': 43233}","{'left_suc_strategic': {-9: 0, -7: 1, -5: 6, -3: 7, -1: 8}, 'left_unsuc_best_try': {-9: 96, -7: 24, -5: 19, -3: 9, -1: 12}, 'right_suc_strategic': {1: 8, 3: 4, 5: 5, 7: 2, 9: 0}, 'right_unsuc_best_try': {1: 11, 3: 9, 5: 9, 7: 15, 9: 79}}"
52,11472,8260,7779,7471,6842,8178,6559,6946,7516,7898,11079,"{'tie': 67, 'left_suc_strategic': 20, 'left_unsuc_best_try': 143, 'left_unsuc_sincere': 161, 'left_unsuc_random': 159, 'left_winning_sincere': 45355, 'right_suc_strategic': 24, 'right_unsuc_best_try': 128, 'right_unsuc_sincere': 130, 'right_unsuc_random': 123, 'right_winning_sincere': 43267}","{'left_suc_strategic': {-9: 0, -7: 3, -5: 4, -3: 7, -1: 6}, 'left_unsuc_best_try': {-9: 97, -7: 13, -5: 13, -3: 11, -1: 9}, 'right_suc_strategic': {1: 7, 3: 10, 5: 5, 7: 2, 9: 0}, 'right_unsuc_best_try': {1: 11, 3: 13, 5: 13, 7: 16, 9: 75}}"
53,11484,8239,7760,7467,6849,8178,6563,6958,7519,7908,11075,"{'tie': 62, 'left_suc_strategic': 34, 'left_unsuc_best_try': 155, 'left_unsuc_sincere': 140, 'left_unsuc_random': 154, 'left_winning_sincere': 45348, 'right_suc_strategic': 30, 'right_unsuc_best_try': 120, 'right_unsuc_sincere': 133, 'right_unsuc_random': 114, 'right_winning_sincere': 43283}","{'left_suc_strategic': {-9: 0, -7: 5, -5: 10, -3: 9, -1: 10}, 'left_unsuc_best_try': {-9: 95, -7: 22, -5: 15, -3: 14, -1: 9}, 'right_suc_strategic': {1: 14, 3: 9, 5: 4, 7: 3, 9: 0}, 'right_unsuc_best_try': {1: 5, 3: 9, 5: 7, 7: 9, 9: 90}}"
54,11462,8245,7759,7459,6838,8178,6566,6976,7521,7934,11062,"{'tie': 65, 'left_suc_strategic': 32, 'left_unsuc_best_try': 129, 'left_unsuc_sincere': 143, 'left_unsuc_random': 161, 'left_winning_sincere': 45331, 'right_suc_strategic': 13, 'right_unsuc_best_try': 138, 'right_unsuc_sincere': 97, 'right_unsuc_random': 123, 'right_winning_sincere': 43330}","{'left_suc_strategic': {-9: 0, -7: 4, -5: 5, -3: 10, -1: 13}, 'left_unsuc_best_try': {-9: 82, -7: 12, -5: 16, -3: 12, -1: 7}, 'right_suc_strategic': {1: 6, 3: 4, 5: 3, 7: 0, 9: 0}, 'right_unsuc_best_try': {1: 11, 3: 8, 5: 14, 7: 15, 9: 90}}"
55,11464,8244,7755,7460,6843,8178,6573,6977,7519,7938,11049,"{'tie': 61, 'left_suc_strategic': 22, 'left_unsuc_best_try': 171, 'left_unsuc_sincere': 130, 'left_unsuc_random': 118, 'left_winning_sincere': 45318, 'right_suc_strategic': 15, 'right_unsuc_best_try': 111, 'right_unsuc_sincere': 117, 'right_unsuc_random': 115, 'right_winning_sincere': 43384}","{'left_suc_strategic': {-9: 0, -7: 4, -5: 5, -3: 4, -1: 9}, 'left_unsuc_best_try': {-9: 118, -7: 18, -5: 13, -3: 14, -1: 8}, 'right_suc_strategic': {1: 3, 3: 3, 5: 6, 7: 3, 9: 0}, 'right_unsuc_best_try': {1: 6, 3: 10, 5: 11, 7: 15, 9: 69}}"
56,11428,8250,7766,7454,6846,8178,6560,6994,7521,7935,11068,"{'tie': 63, 'left_suc_strategic': 18, 'left_unsuc_best_try': 118, 'left_unsuc_sincere': 153, 'left_unsuc_random': 139, 'left_winning_sincere': 45337, 'right_suc_strategic': 18, 'right_unsuc_best_try': 100, 'right_unsuc_sincere': 119, 'right_unsuc_random': 108, 'right_winning_sincere': 43385}","{'left_suc_strategic': {-9: 0, -7: 5, -5: 2, -3: 6, -1: 5}, 'left_unsuc_best_try': {-9: 82, -7: 12, -5: 7, -3: 8, -1: 9}, 'right_suc_strategic': {1: 9, 3: 4, 5: 5, 7: 0, 9: 0}, 'right_unsuc_best_try': {1: 10, 3: 6, 5: 7, 7: 18, 9: 59}}"
57,11417,8251,7750,7452,6845,8178,6579,6994,7528,7950,11056,"{'tie': 69, 'left_suc_strategic': 16, 'left_unsuc_best_try': 128, 'left_unsuc_sincere': 127, 'left_unsuc_random': 162, 'left_winning_sincere': 45309, 'right_suc_strategic': 13, 'right_unsuc_best_try': 104, 'right_unsuc_sincere': 102, 'right_unsuc_random': 102, 'right_winning_sincere': 43428}","{'left_suc_strategic': {-9: 0, -7: 2, -5: 5, -3: 5, -1: 4}, 'left_unsuc_best_try': {-9: 85, -7: 15, -5: 12, -3: 9, -1: 7}, 'right_suc_strategic': {1: 3, 3: 5, 5: 4, 7: 1, 9: 0}, 'right_unsuc_best_try': {1: 2, 3: 16, 5: 7, 7: 5, 9: 74}}"
58,11419,8229,7754,7440,6850,8178,6584,7003,7543,7965,11035,"{'tie': 56, 'left_suc_strategic': 19, 'left_unsuc_best_try': 143, 'left_unsuc_sincere': 107, 'left_unsuc_random': 148, 'left_winning_sincere': 45304, 'right_suc_strategic': 14, 'right_unsuc_best_try': 99, 'right_unsuc_sincere': 93, 'right_unsuc_random': 113, 'right_winning_sincere': 43473}","{'left_suc_strategic': {-9: 0, -7: 3, -5: 1, -3: 9, -1: 6}, 'left_unsuc_best_try': {-9: 85, -7: 23, -5: 11, -3: 14, -1: 10}, 'right_suc_strategic': {1: 7, 3: 4, 5: 2, 7: 1, 9: 0}, 'right_unsuc_best_try': {1: 4, 3: 4, 5: 8, 7: 11, 9: 72}}"
59,11400,8227,7763,7430,6850,8178,6603,7010,7557,7957,11025,"{'tie': 58, 'left_suc_strategic': 21, 'left_unsuc_best_try': 117, 'left_unsuc_sincere': 139, 'left_unsuc_random': 127, 'left_winning_sincere': 45265, 'right_suc_strategic': 17, 'right_unsuc_best_try': 86, 'right_unsuc_sincere': 119, 'right_unsuc_random': 93, 'right_winning_sincere': 43509}","{'left_suc_strategic': {-9: 0, -7: 4, -5: 2, -3: 9, -1: 6}, 'left_unsuc_best_try': {-9: 77, -7: 12, -5: 8, -3: 9, -1: 11}, 'right_suc_strategic': {1: 1, 3: 5, 5: 7, 7: 4, 9: 0}, 'right_unsuc_best_try': {1: 2, 3: 10, 5: 5, 7: 11, 9: 58}}"
60,11387,8227,7761,7437,6844,8178,6607,7025,7550,7946,11038,"{'tie': 46, 'left_suc_strategic': 24, 'left_unsuc_best_try': 128, 'left_unsuc_sincere': 121, 'left_unsuc_random': 120, 'left_winning_sincere': 45268, 'right_suc_strategic': 20, 'right_unsuc_best_try': 107, 'right_unsuc_sincere': 96, 'right_unsuc_random': 92, 'right_winning_sincere': 43538}","{'left_suc_strategic': {-9: 0, -7: 4, -5: 5, -3: 7, -1: 8}, 'left_unsuc_best_try': {-9: 84, -7: 14, -5: 13, -3: 7, -1: 10}, 'right_suc_strategic': {1: 7, 3: 2, 5: 9, 7: 2, 9: 0}, 'right_unsuc_best_try': {1: 7, 3: 5, 5: 14, 7: 14, 9: 67}}"
61,11384,8227,7754,7432,6839,8178,6604,7035,7556,7943,11048,"{'tie': 55, 'left_suc_strategic': 31, 'left_unsuc_best_try': 124, 'left_unsuc_sincere': 119, 'left_unsuc_random': 128, 'left_winning_sincere': 45253, 'right_suc_strategic': 17, 'right_unsuc_best_try': 93, 'right_unsuc_sincere': 85, 'right_unsuc_random': 90, 'right_winning_sincere': 43550}","{'left_suc_strategic': {-9: 0, -7: 3, -5: 7, -3: 14, -1: 7}, 'left_unsuc_best_try': {-9: 84, -7: 14, -5: 10, -3: 9, -1: 7}, 'right_suc_strategic': {1: 7, 3: 3, 5: 3, 7: 4, 9: 0}, 'right_unsuc_best_try': {1: 9, 3: 6, 5: 8, 7: 6, 9: 64}}"
62,11367,8229,7769,7423,6835,8178,6612,7037,7554,7953,11043,"{'tie': 52, 'left_suc_strategic': 21, 'left_unsuc_best_try': 121, 'left_unsuc_sincere': 127, 'left_unsuc_random': 116, 'left_winning_sincere': 45254, 'right_suc_strategic': 15, 'right_unsuc_best_try': 89, 'right_unsuc_sincere': 78, 'right_unsuc_random': 95, 'right_winning_sincere': 43589}","{'left_suc_strategic': {-9: 0, -7: 0, -5: 4, -3: 9, -1: 8}, 'left_unsuc_best_try': {-9: 85, -7: 10, -5: 5, -3: 12, -1: 9}, 'right_suc_strategic': {1: 1, 3: 6, 5: 4, 7: 4, 9: 0}, 'right_unsuc_best_try': {1: 2, 3: 8, 5: 9, 7: 6, 9: 64}}"
63,11345,8229,7759,7424,6835,8178,6611,7044,7558,7962,11055,"{'tie': 58, 'left_suc_strategic': 16, 'left_unsuc_best_try': 109, 'left_unsuc_sincere': 122, 'left_unsuc_random': 132, 'left_winning_sincere': 45250, 'right_suc_strategic': 28, 'right_unsuc_best_try': 90, 'right_unsuc_sincere': 86, 'right_unsuc_random': 83, 'right_winning_sincere': 43584}","{'left_suc_strategic': {-9: 0, -7: 4, -5: 5, -3: 2, -1: 5}, 'left_unsuc_best_try': {-9: 73, -7: 12, -5: 8, -3: 7, -1: 9}, 'right_suc_strategic': {1: 12, 3: 7, 5: 8, 7: 1, 9: 0}, 'right_unsuc_best_try': {1: 3, 3: 5, 5: 3, 7: 13, 9: 66}}"
64,11332,8225,7766,7422,6837,8178,6620,7045,7558,7958,11059,"{'tie': 56, 'left_suc_strategic': 33, 'left_unsuc_best_try': 103, 'left_unsuc_sincere': 109, 'left_unsuc_random': 129, 'left_winning_sincere': 45197, 'right_suc_strategic': 17, 'right_unsuc_best_try': 73, 'right_unsuc_sincere': 92, 'right_unsuc_random': 88, 'right_winning_sincere': 43646}","{'left_suc_strategic': {-9: 0, -7: 7, -5: 2, -3: 14, -1: 10}, 'left_unsuc_best_try': {-9: 65, -7: 12, -5: 10, -3: 8, -1: 8}, 'right_suc_strategic': {1: 3, 3: 5, 5: 6, 7: 3, 9: 0}, 'right_unsuc_best_try': {1: 6, 3: 1, 5: 8, 7: 9, 9: 49}}"
65,11329,8225,7762,7422,6836,8178,6630,7043,7552,7968,11055,"{'tie': 59, 'left_suc_strategic': 18, 'left_unsuc_best_try': 105, 'left_unsuc_sincere': 119, 'left_unsuc_random': 118, 'left_winning_sincere': 45193, 'right_suc_strategic': 19, 'right_unsuc_best_try': 78, 'right_unsuc_sincere': 83, 'right_unsuc_random': 89, 'right_winning_sincere': 43660}","{'left_suc_strategic': {-9: 0, -7: 2, -5: 4, -3: 9, -1: 3}, 'left_unsuc_best_try': {-9: 64, -7: 15, -5: 13, -3: 6, -1: 7}, 'right_suc_strategic': {1: 6, 3: 6, 5: 5, 7: 2, 9: 0}, 'right_unsuc_best_try': {1: 3, 3: 5, 5: 7, 7: 7, 9: 56}}"
66,11322,8215,7766,7418,6833,8178,6636,7052,7559,7968,11053,"{'tie': 64, 'left_suc_strategic': 16, 'left_unsuc_best_try': 113, 'left_unsuc_sincere': 101, 'left_unsuc_random': 127, 'left_winning_sincere': 45184, 'right_suc_strategic': 13, 'right_unsuc_best_try': 80, 'right_unsuc_sincere': 80, 'right_unsuc_random': 83, 'right_winning_sincere': 43680}","{'left_suc_strategic': {-9: 0, -7: 4, -5: 5, -3: 4, -1: 3}, 'left_unsuc_best_try': {-9: 75, -7: 14, -5: 3, -3: 12, -1: 9}, 'right_suc_strategic': {1: 6, 3: 3, 5: 2, 7: 2, 9: 0}, 'right_unsuc_best_try': {1: 7, 3: 4, 5: 9, 7: 15, 9: 45}}"
